question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,easy,1
"The graph of $x-2 y \leq 6,2 x+y \geq-2$ and $x+2 y \leq 10$ is",http://d15o1jx56rxevg.cloudfront.net/ecat/maths/m19_Linear/19-17.PNG,moderate,"Solve the lines for intersection points:
\[
\begin{array}{c}
x-2 y=6 ; \quad 2 x+y=-2 ; \quad x+2 y=10 \\
\text {adding } l_{1} \& l_{3}: 2 x=16 \rightarrow x=8, \quad 8-2 y=6, \quad y=1: \quad(x, y)=(8,1)
\end{array}
\]
subtracting $l_{2}$ from 2 times $l_{1}: \quad y+4 y=12-2 \rightarrow y=2$
\[
2 x+2=-2 \rightarrow \quad x=-2: \quad(x, y)=(-2,2)
\]
Only option (d) has these two points",,102,A,B,C,D,,,,,4,,
Which of the following is not convex?,http://d15o1jx56rxevg.cloudfront.net/ecat/maths/m19_Linear/19-18.PNG,easy,The convex regions have stand out straight line boundaries without any intersection. The adjoining figures are not convex regions.,,102,A,B,C,D,,,,,4,,
"A manufacturer makes two grades of concrete. Each bag of the high-grade concrete contains 10Kg of gravel and 5Kg of cement, while each bag of low-grade concrete contains 12Kg of gravel and 3Kg of cement. There are 1,920 Kg of gravel and 780Kg of cement currently available. The manufacturer can make a profit of $1.20 of each bag of the high grade and $ 1.00 on each bag of low grade concrete. Then the number of bags of low grade, high grade and the maximum profit are respectively? ",,moderate,"Satisfy the condition of materials: Gravel: $60(12)+120(10)=1920 \mathrm{kg}$ Find the solution: $\quad f(1,1.2)=60 x+120 y=60(1)+120(1.2)=60+144=204$",,102,"6,01,20,240","1,20,60,240","6,01,20,204","1,20,60,204",,,,,3,,
"The largest and smallest value of $F=3 x+4 y$ subject to $x+3 y \leq 15,4 x+3 y \leq 24, x, y \geq 0$
are respectively",,moderate,"Solve for feasible region: Inequality 1 will give (15,0), $(0,5),$ Inequality 2 will give (6,0),(0,8) and the intersection point is $(3,4) .$ Inequality 3,4 will give (0,0) The points of feasible solutions are: (0,0),(3,4),(6,0),(0,5)
\[
f(0,0)=0 \quad f(3,4)=3(3)+4(4)=9+16=25
\]",,102,"25,5","5,0","25,10","25,0",,,,,4,,
"Find the equation of tangent to the circle $x^{2}+y^{2}+4 x+2 y=0$ from the point $P(-1,2)$",,moderate,"The equation at point (-1,2)$: \quad y-2=m(x+1) \rightarrow m x-y+m+2=0$
\[
\begin{array}{l}
\text { For radius at } C=(-2,-1): \quad r=\sqrt{g^{2}+f^{2}-c}=\sqrt{5} \\
\qquad \begin{aligned}
\frac{1-2 m+1+m+2 |}{\sqrt{m^{2}+1}}=& \sqrt{5} \rightarrow(m-3)^{2}=5\left(m^{2}+1\right) \rightarrow 2 m^{2}+3 m-2=0 \rightarrow m=-2, \frac{1}{2} \\
\text { For } m=-2: \quad &-2 x-y-2+2=0 \rightarrow 2 x+y=0
\end{aligned}
\end{array}
\]",,103,x+y=0,x+2y=0,2x+y=0,2y+x=0,,,,,3,,
"The equation of the circle passing through the points (5,10),(6,9) and (-2,3) is",,moderate,"Reverse Solve. Check which equation satisfies all 3 points.
(a) $5^{2}+10^{2}+3(5)+2(10)=25+100+15+20=160 \neq 0 \quad$ not satisfy
(b) $\operatorname{At}(5,10): \quad 5^{2}+10^{2}-4(5)-12(10)+15=25+100-20-120+15=0$
At (6,9):
\[
6+9^{2}-4(6)-12(9)+15=36+81-24-108+15=0
\]
At (-2,3)$: \quad-2^{2}+3^{2}-4(-2)-12(3)+15=4+9+8-36+15=0$",,103,$x^{2}+y^{2}+3 x+2 y=0$,$x^{2}+y^{2}-4 x-12 y+15=0$,$x^{2}+y^{2}+4 x+12 y=0$,$x^{2}+y^{2}-4 x-3 y-15=0$,,,,,2,,
Which one is not the equation of circle,,easy,The product of variables does not exist in equation of circle.,,103,$35 x^{2}+35 y^{2}-30 x+17 y-2=0$,$17 x^{2}+17 y^{2}+2 g x-2 f y+17=0$,$x^{2}+y^{2}=49$,$x^{2}+2 y^{2}-2 x y+2 f y=0$,,,,,4,,
The circum centre of right angled triangle is,,easy,Theorem of Circle.,,103,Any vertex,the vertex where two legs meet,Mid-point of hypotenuse,at which angle bisectors meet,,,,,3,,
Equation of a circle with centre at origin and radius 3 is ,,easy,"The general equation of circle: $(x-h)^{2}+(y-k)^{2}=r^{2}$
\[
\text { At origin }(h, k)=(0,0), r=3 \quad x^{2}+y^{2}=3^{2}=9
\]",,103,$x^{2}+y^{2}=9$,$x^{2}+y^{2}=3$,$x^{2}=y^{2}+3$,$x^{2}-y^{2}=9$,,,,,1,,
Coordinate of centre of the circle of equation $x^{2}+y^{2}+2 x+y+17=0$ is,,easy,"The center of circle for equation: $x^{2}+y^{2}+2 g x+2 f y+c=0$ is $(-g,-f)$",,103,"(1,2)","(3,4)","$\left(-1,-\frac{1}{2}\right)$","$\left(1, \frac{1}{2}\right)$",,,,,3,,
Which is not the equation of circle which touches both the axes and is of radius 13;,,easy,All the equations will touch both axis and of radius 13.,,103,$(x+13)^{2}+(y+13)^{2}=169$,$(x-13)^{2}+(y+13)^{2}=169$,$(x+13)^{2}+(y-13)^{2}=169$,None,,,,,4,,
The mid-point of the chord cut off from the line $x+y=3$ by the circle $x^{2}+y^{2}=9$ is;,,moderate,"The chord will intersect the circle at points $(0,3) \&(3,0) .$ Using mid-point formula: $\left(\frac{x_{1}+x_{2}}{2}, \frac{y_{1}+y_{2}}{2}\right)=\left(\frac{3}{2}, \frac{3}{2}\right)$",,103,"$\left(-\frac{3}{2},-\frac{3}{2}\right)$","$\left(\frac{3}{2},-\frac{3}{2}\right)$","$\left(-\frac{3}{2}, \frac{3}{2}\right)$","$\left(\frac{3}{2}, \frac{3}{2}\right)$",,,,,4,,
Which point lies inside the circle $2 x^{2}+2 y^{2}+3 x+4 y-1=0 ?$,,moderate,"Any point that gives a -ve value when inserted in equation of circle is inside the circle,
\[
2(-1)^{2}+2(-2)^{2}+3(-1)+4(-2)-1=2+8-3-8-1=-2
\]",,103,"(-1,-2)","(2,1)","(-3,1)","(1,3)",,,,,1,,
"The length of the tangent segment from (2,-1) to the circle $x^{2}+y^{2}-5 x-3 y+27=0$ is",,easy,Length of tangent: $\sqrt{(2)^{2}+(-1)^{2}-5(2)-3(-1)+27}=\sqrt{25}=5$,,103,3,4,5,8,,,,,3,,
Number of tangents drawn to a circle from a point outside the circle is;,,easy,Key Point.,,103,1,2,3,4,,,,,2,,
"The equation of tangent to the circle $x^{2}+y^{2}-10 x-24 y=0$ at the point (5,-1) is;",,moderate,"Equation of Tangent from point to circle is: $x x_{1}+y y_{1}+g\left(x+x_{1}\right)+f\left(y+y_{1}\right)+c=0$
\[
\begin{array}{c}
5 x-y-5(x+5)-12(y-1)=5 x-y-5 x-25-12 y+12=-13 y-13=0 \\
y+1=0
\end{array}
\]",,103,$ x+y = 0 $,3x-5y+3 = 0, 9x-7y = -11,y+1 = 0,,,,,4,,
"Equation of tangent to the circle $x^{2}+y^{2}=a^{2}$ for all values of $^{\prime} m^{\prime}$ at point $\left(x_{1}, y_{1}\right)$ is;",,easy,Very important formula,,103,y = mx+c,$y^{2}=a^{2}-x^{2}$,$x^{2}+y^{2}-2 a x-2 b y+a^{2} b^{2}-r^{2}=0$,$y_{1}=m x_{1}+a \sqrt{1+m^{2}}$,,,,,4,,
Angle between lines $x^{2}-y^{2}=0$ is;,,easy,"the lines are $x-y=0: x+y=0$ with slopes $1 \&-1$
According to intersecting lines: $m_{1} \cdot m_{2}=-1$ is perpendicular lines",,103,0,$180^{\circ}$,$50^{\circ}$,$90^{\circ}$,,,,,4,,
$3 x^{3}-7 x y^{2}+19 y^{3}=0$ is an equation of,,easy,Each term has index sum 3.,,103,Degree 1,degree 2,degree 3,degree 4,,,,,3,,
"If $\mathrm{g}^{2}+\mathrm{f}^{2}$ -c is zero, the circle is;",,easy,A circle of zero radius is point circle or single point.,,103,Infinite,imaginary,single point,unit circle,,,,,3,,
Radius of the circle $13 x^{2}+13 y^{2}-52 x+39 y=0$ is,,moderate,"The equation in standard form will be:
$x^{2}+y^{2}-4 x+3 y=0$
\[
a=\sqrt{2^{2}+\frac{3^{2}}{2}}=\sqrt{4+\frac{2}{4}}=\sqrt{\frac{25}{4}}=\frac{5}{2}
\]",,103,$\frac{125}{\sqrt{9}}$,$\frac{15}{2}$,$\frac{31}{3}$,$\frac{5}{2}$,,,,,4,,
"The equation of circles with (2,3) and (3,4) as end points of diameter is;",,moderate,"centre is mid-point:
$\left(\frac{2+3}{2}, \frac{3+4}{2}\right)=\left(\frac{5}{2}, \frac{7}{2}\right)$
The radius is: $\quad a=\frac{1}{2} \sqrt{1^{2}+1^{2}}=\frac{\sqrt{2}}{2}$
Using standard form: $\quad\left(x-\frac{5}{2}\right)^{2}+\left(y-\frac{7}{2}\right)^{2}=\frac{\sqrt{2}^{2}}{2} \rightarrow x^{2}+y^{2}-5 x-7 y+\frac{25}{4}+\frac{49}{4}-\frac{2}{4}=0$
\[
x^{2}+y^{2}-5 x-7 y+18=0
\]",,103,$x^{2}+y^{2}-9 x+12 x+12=0$,$x^{2}+13 x+y^{2}-7 y+13=0$,$x^{2}+y^{2}-5 x-7 y+18=0$,$x^{2}+y^{2}=36$,,,,,3,,
"The equation of normal to $x^{2}+y^{2}=a^{2}$ at $\left(x_{1}, y_{1}\right)$ is",,easy,The basic equation is: $y-y_{1}=\frac{y_{1}+f}{x_{1}+g}\left(x-x_{1}\right)$,,103,$y+y_{1}=\frac{x_{1}}{y_{1}}\left(x+x_{1}\right)$,$y-y_{1}=\frac{y_{1}}{x_{1}}\left(x+x_{1}\right)$,$y-y_{1}=\frac{y_{1}}{x_{1}}\left(x-x_{1}\right)$,None,,,,,3,,
The circle $x^{2}+y^{2}-2 x-4 y+1=0$ and $x^{2}+y^{2}+4 x+4 y-1=0$,,moderate,"For $C_{1}: r_{1}=\sqrt{1^{2}+2^{2}-1}=2$ center $=(1,2)$
$$
\begin{array}{l}\text { For } C_{1}: \quad r_{2}=\sqrt{2^{2}+2^{2}+1}=3 \text { center }=(-2,-2) \\ \qquad \begin{array}{l}C_{1} C_{2}=\sqrt{(-2-1)^{2}+(-2-2)^{2}}=\sqrt{9+16}=5 \\ C_{1} C_{2}=r_{1}+3+2=5 & \text { Touch Externally }\end{array}\end{array}
$$",,103,Touch internally,touch externally,do not touch,None,,,,,2,,
The coordinates of points of intersection of $x^{2}+y^{2}=25$ and $3 x+y=5$ are;,,moderate,Reverse Solve check which pair of point satisfy both equations.,,103,"(5,0) (3,-4)","(1,2)(3,4)","(-5,0),(-3,4)","(0,5),(3,-4)",,,,,4,,
The line $3 x+2 y+K=0$ may touch the circle $x^{2}+y^{2}-2 x+3 y=0$ if $K$ is,,moderate,"\begin{aligned}
&\text { the radius of circle: } \quad r=\sqrt{(1)^{2}+\left(\frac{3}{2}\right)^{2}}=\frac{\sqrt{4+9}}{2}=\frac{\sqrt{13}}{2}\\
&\begin{array}{l}
\text { For centre } C=\left(x_{1}, y_{1}\right), \quad r=d=\frac{\left|\alpha x_{1}+b y_{1}+c\right|}{\sqrt{a^{2}+b^{2}}}=\frac{\left|3(1)+2\left(-\frac{2}{2}\right)+K\right|}{\sqrt{2^{2}+3^{2}}}=\frac{K}{\sqrt{13}}=\frac{\sqrt{13}}{2} \\
K=\frac{13}{2}
\end{array}
\end{aligned}",,103,$\frac{13}{2}$,$\frac{5 \sqrt{13}}{2}$,$\frac{2 \sqrt{3}}{5}$,$\frac{6 \sqrt{19}}{3}$,,,,,1,,
The value of eccentricity of the circle is;,,easy,Theoretical Formula,,103,0,1,-1,$\sqrt{2}$,,,,,1,,
The number of constants in equation. $x^{2}+y^{2}+2 g x+2 c y+b=0$ is;,,easy,"2g, 2c and b are constants here.",,103,1,2,3,4,,,,,3,,
The coordinates of the centre and the radius of the circle whose equation is $x^{2}+y^{2}+2 q \cos \vartheta x+2 q \sin \vartheta y+q^{2}=0$ are respectively,,easy,"Centre: $(-g,-f) \quad$ Radius: $\sqrt{g^{2}+f^{2}-c}$",,103,"$(q \cos \vartheta, q \sin \vartheta), q$","$(-q \cos \vartheta,-q \sin \vartheta), 0$","$\left(q \cos ^{2} \vartheta, q \sin ^{2} q\right), \sqrt{q}$","$\left(-q \cos ^{2} \vartheta,-q \sin ^{2} \vartheta\right), 0$",,,,,2,,
Coordinates of the centre of circle for equation $2 x^{2}+2 y^{2}+2 x-4 y+7=0$ are;,,easy,"The standard form will be: $\quad x^{2}+y^{2}+x-2 y+\frac{7}{2}=0$
Centre: $(-g,-f)=\left(-\frac{1}{2}, 1\right)$",,103,"(-2,4)","(2,-4)","(1,-2)","$\left(-\frac{1}{2}, 1\right)$",,,,,4,,
"The equation of circle whose centre is at (3,-2) and which touches the line 3x+4y+14=0 is;",,easy,"This is the only equation with centre (3,-2)",,103,$x^{2}+y^{2}-6 x+4 y+4=0$,$x^{2}+y^{2}-9 x-7 y+13=0$,$x^{2}+y^{2}+17 x-12 y+3=0$,$x^{2}+y^{2}+2 x+17 y+21=0$,,,,,1,,
"The equation of circle with (-3, 4) and (7,1) as end points of diameter is;",,moderate,"centre is mid-point:
$\left(\frac{-3+7}{2}, \frac{4+1}{2}\right)=\left(2, \frac{5}{2}\right)$
The radius is: $\quad a=\frac{1}{2} \sqrt{(-3-7)^{2}+(4-1)^{2}}=\frac{1}{2} \sqrt{10^{2}+3^{2}}=\frac{\sqrt{109}}{2}$
Using standard form: $(x-2)^{2}+\left(y-\frac{5}{2}\right)^{2}=\frac{\sqrt{109}^{2}}{2} \rightarrow x^{2}+y^{2}-4 x-5 y+4+\frac{25}{4}-\frac{109}{4}=0$
$x^{2}+y^{2}-4 x-5 y+17=0$",,103,$x^{2}+y^{2}-4 x-13 y=0$,$x^{2}+y^{2}-2 x+7 y-3=0$,$x^{2}+y^{2}-4 x-5 y-17=0$,$x^{2}+y^{2}+3 x+4 y+13=0$,,,,,3,,
"The equation of the circle whose radius is $\sqrt{a^{2}+b^{2}}$ and centre (a,b) is",,moderate,"$(x-a)^{2}+(y-b)^{2}=(\sqrt{a^{2}+b^{2}})^{2} \rightarrow x^{2}+y^{2}-2 a x-2 b y+a^{2}+b^{2}-a^{2}-b^{2}=0$
$x^{2}+y^{2}-2 a x-2 b y=0$",,103,$x^{2}+y^{2}-2 a x+2 b y=0$,$x^{2}+y^{2}-2 a x-2 b y=0$,$x^{2}+y^{2}+2 a x-2 b y=0$,$x^{2}+y^{2}+2 a x+2 b y-c=0$,,,,,3,,
"Length of tangent drawn from (5,1) to the circle $x^{2}+y^{2}+6 x-4 y-3=0$ is",,easy,$\sqrt{5^{2}+1^{2}+6(5)-4(1)-3}=\sqrt{25+1+30-4-3}=\sqrt{49}=7$,,103,81,29,7,49,,,,,3,,
"If the line $x+2 b y+7=0$ is a diameter of the circle $x^{2}+y^{2}-6 x+2 y=0$, then $\quad b=?$",,easy,"Centre of circle: (3,-1) Put in the line:
\[
3+2 b(-1)+7=-2 b+10=0
\]
\[
b=5
\]",,103,3,-5,-4,5,,,,,2,,
"If $\mathrm{S}_{1}$ and $\mathrm{S}_{2}$ are the equations of circles $x^{2}+y^{2}+4 x+1=0$ and $x^{2}+y^{2}+6 x+2 y+3=0,$ then equation of common chord is;",,moderate,"Reverse solve: $x+y+1=0 \rightarrow x=-(1+y)$
$S_{1}: \quad(1+y)^{2}+y^{2}-4(1+y)+1=y^{2}+2 y+1+y^{2}-4 y-4+1=y^{2}-y-1=0$
$S_{2}: \quad(1+y)^{2}+y^{2}-6(1+y)+2 y+3=y^{2}+2 y+1+y^{2}-6 y-6+2 y+3=0$
$y^{2}-y-1=0$",,103,$x+y+1=0$,$x+y-1=0$,$2 x+2 y+5=0$,$x+y-3=0$,,,,,1,,
The length of the chord intercepted by the circle $x^{2}+y^{2}+2 x-4 y-1=0$ on the line $x-y+1=0$ is;,,difficult,"the points of intersections need to be found for this: $\quad x=y-1$
\[
\begin{array}{l}
(y-1)^{2}+y^{2}+2(y-1)-4 y-1=y^{2}-2 y+1+y^{2}+2 y-2-4 y-1=2 y^{2}-4 y-2 \\
y^{2}-2 y-1=0: \quad \text { By solving we get: } \quad y=1 \pm \sqrt{2} \quad x=\pm \sqrt{2}
\end{array}
\]
Points are: $\quad P=(\sqrt{2}, 1+\sqrt{2}), Q=(-\sqrt{2}, 1-\sqrt{2})$ their distance is length
\[
P Q=d=\sqrt{(2 \sqrt{2})^{2}+(2 \sqrt{2})^{2}}=\sqrt{8+8}=\sqrt{16}=4
\]",,103,4,8,2,1,,,,,1,,
"If (x, 3) and (3, 5) are ends of a diameter of a circle and centre is (2, y), then the  value of (x, y) is;",,moderate,"midpoint of diameter is centre of circle:
$\left(\frac{x+3}{2}, \frac{3+5}{2}\right)=(1, y)$
\[
\frac{x+3}{2}=2 \rightarrow x=4-3=1 \quad \frac{3+5}{2}=\frac{8}{2}=4=y
\]",,103,"(1, 4)","(4, 1)","(8, 2)","(2, 8)",,,,,1,,
"The equation of circle which touches y-axis at (0, 3) and cuts 9 intercept on x-axis, is;",,moderate,"Reverse Check for point (0,3)$\&(9,0)$
(a) $0+3^{2}+0+6(3)+9=36 \neq 0$
(b) $0+3^{2}+0-6(3)+9=0 \quad 9^{2}+0+6(9)+0+9=144 \neq 0$
(c) $0+3^{2}+0+4(3)+2=23 \neq 0$
(d) $0+3^{2}-0-6(3)+9=0 \quad 9^{2}+0-10(9)-0+9=0$",,103,$x^{2}+y^{2}+10 x+6 y+9=0$,$x^{2}+y^{2}+6 x-10 y+9=0$,$x^{2}+y^{2}+8 x+4 y+2=0$,$x^{2}+y^{2}-10 x-6 y+9=0$,,,,,4,,
"If one end of the diameter of the circle $2 x^{2}+2 y^{2}-8 x-4 y+2=0$ is (2,3) then other end
is",,moderate,"Reverse check which point satisfy equation of circle.
(a) $2(-2)^{2}+2(-3)^{2}-8(-2)-4(3)+2=8+18+16+12+2>0$
(b) $2(4)^{2}+2(-2)^{2}-8(4)-4(-2)+2=32+8-32+8+=18>0$
(c) $2(2)^{2}+2(-1)^{2}-8(2)-4(-1)+2=8+2-16+4+2=0$",,103,"(-2, -3)","(4, -2)","(2, -1)","(3, 2)",,,,,3,,
Which of the following lines is a normal to the circle $(x-1)^{2}+(y-2)^{2}=10 ?$,,easy,"The normal line passes through centre 1,2 reverse check;
1+2=3",,103,$x+y=3$,$(x-1)+(y-2)=10$,$x+2 y=0$,$2 x+y=3$,,,,,1,,
If the line $\frac{x}{a}+\frac{y}{b}=1$ touches the circle $x^{2}+y^{2}=r^{2}$ then_______,,easy,Very important formula,,103,$a^{2}+b^{2}=r^{2}$,$a^{2}-b^{2}=r^{2}$,$\frac{1}{a^{2}}+\frac{1}{b^{2}}=\frac{1}{r^{2}}$,$\frac{1}{a^{2}}-\frac{1}{b^{2}}=\frac{1}{r^{2}}$,,,,,3,,
"Circle passes through (a, 0), (0, b) and (0, 0) then its centre is",,moderate,"Putting the values of point in general equation of circle:
(0,0)$: c=0$
\[
\begin{array}{l}
(a, 0): a^{2}+2 g a=0 \rightarrow g=-\frac{a}{2} \\
(0, b): b^{2}+2 f b=0 \rightarrow f=-\frac{b}{2}
\end{array}
\]
Centre of Circle is: $\quad(-g,-f)=\left(\frac{a}{2}, \frac{b}{2}\right)$",,103,"$\left(\frac{a}{2}, \frac{b}{2}\right)$","$\left(\frac{b}{2}, \frac{a}{2}\right)$","$(a, b)$","(b, a)",,,,,1,,
"The equation for chord of circle with centre (0,0)
\[
\begin{array}{c}
x x_{1}+y y_{1}+g\left(x+x_{1}\right)+f\left(y+y_{1}\right)=x_{1}^{2}+y_{1}^{2}+2 g x_{1}+2 f y_{1} \\
x-2 y+0+0=1+4+0+0 \\
x-2 y=5
\end{array}
\]",,moderate,"The equation for chord of circle with centre (0,0)
\[
\begin{array}{c}
x x_{1}+y y_{1}+g\left(x+x_{1}\right)+f\left(y+y_{1}\right)=x_{1}^{2}+y_{1}^{2}+2 g x_{1}+2 f y_{1} \\
x-2 y+0+0=1+4+0+0 \\
x-2 y=5
\end{array}
\]",,103,$2x + y = 5$,$2x – y = 5$,$x + 2y = 5$,$x - 2y = 5$,,,,,4,,
Centre of the circle $\left(x-x_{1}\right)\left(x-x_{2}\right)+\left(y-y_{1}\right)\left(y-y_{2}\right)=0$ is,,moderate,"Simplify equation: $\quad x^{2}-\left(x_{1}+x_{2}\right) x+x_{1} x_{2}+y^{2}-y\left(y_{1}+y_{2}\right)+y_{1} y_{2}=0$
Comparing with standard form: $2 g=-\left(x_{1}+x_{2}\right) \rightarrow g=-\frac{x_{1}+x_{2}}{2}, f=-\frac{y_{1}+y_{2}}{2}$
\[
\text { Centre: }(-g,-f)=\left(\frac{x_{1}+x_{2}}{2}, \frac{y_{1}+y_{2}}{2}\right)
\]",,103,"$\left(x_{1}, y_{1}\right)$","$\left(x_{2}, y_{2}\right)$",$\left(\frac{x_{1}+y_{1}}{2} \frac{x_{2}+y_{2}}{2}\right)$,$\left(\frac{x_{1}+x_{2}}{2} \frac{y_{1}+y_{2}}{2}\right)$,,,,,4,,
$x^{2}+y^{2}=r^{2}$ and $x^{2}+y^{2}-10 x+16=0$ intersect in two points then,,moderate,"For circle to be mutually intersecting: $\left|r_{1}-r_{2}\right|<C_{1} C_{2}<r_{1}+r_{2}$
\[
C_{1}=(0,0), \& C_{2}=(5,0): \quad C_{1} C_{2}=5 \quad r_{2}=\sqrt{5^{2}-16}=\sqrt{9}=3
\]
Satisfying the condition: $r>5-3=2 \& \quad r<5+3=8$",,103,$2<r<8$,r = 2 or r = 8,r < 2 or r > 8,r > 2 and r > 8,,,,,1,,
The circles $x^{2}+y^{2}-2 x-4 y=0$ and $x^{2}+y^{2}-8 y-4=0$,,moderate,"$C_{1}=(1,2) \& C_{2}=(0,4) \quad r_{1}=\sqrt{5} \& r_{2}=2 \sqrt{5}$
$C_{1} C_{2}=\sqrt{1^{2}+2^{2}}=\sqrt{5}$
$\left|r_{1}-r_{2}\right|=|\sqrt{5}-2 \sqrt{5}|=\sqrt{5}=C_{1} C_{2}$",,103,Touch internally,Touch externally,Intersect,Do not intersect,,,,,1,,
"Equation of normal to the circle $x^{2}+y^{2}=a^{2}$ at point $\left(x_{1}, y_{1}\right)$ is",,easy,Theoretical Formula,,103,$x x_{1}+y y_{1}=a^{2}$,$x y_{1}-y x_{1}=a^{2}$,$x y_{1}-y x_{3}=0$,$x x_{1}+y y_{1}=0$,,,,,3,,
"Area of a circle whose centre is $(\cos \theta, \sin \theta)$ and passes through the origin is",,easy,"The radius of circle is for points given:
\[
\sqrt{\theta+\theta}=1
\]
\[
A=\pi r^{2}=\pi(1)^{2}=\pi
\]",,103,$\pi$,1,$\pi r^{2}$,$2 \pi$,,,,,1,,
"The equation of chord of contact of circle $x^{2}+y^{2}=21$ when tangent are drawn from $(-3,4),$ is",,easy,"Equation of tangent at Point $P\left(x_{1}, y_{1}\right)$ and $Q\left(x_{2}, y_{2}\right)$ on circle are:
\[
x x_{1}+y y_{1}=21 \quad \& \quad x x_{2}+y y_{2}=21
\]
Putting the value of point we will have same line: $-3 x+4 y=21$",,103,$-3 x+4 y=21$,$x+6 y=21$,$3 x-4 y=21$,$x-6 y=21$,,,,,1,,
Distance of chord cut by line $2 x+3 y=13$ from centre of circle $x^{2}+y^{2}=26$ is,,moderate,"the centre of circle is origin $(0,0) .$ Using formula of perpendicular distance:
\[
d=\frac{|c|}{\sqrt{a^{2}+b^{2}}}=\frac{13}{\sqrt{2^{2}+3^{2}}}=\frac{13}{\sqrt{13}}=\sqrt{13}
\]",,103,$\sqrt{26}$,13,$\sqrt{13}$,cannot be determined,,,,,3,,
"Angle subtended in the major arc of circle $x^{2}+y^{2}=18,$ whose end points are (3,3),(-3,3)",,moderate,"the centre is origin so, slope of both points are
$(3,3) \quad m_{1}=\frac{3-0}{3-0}=1 \rightarrow \alpha_{1}=45^{\circ}$
$(-3,3) \quad m_{2}=\frac{3-0}{-3-0}=-1 \rightarrow \alpha_{2}=135^{\circ}$
The angle of arc will be $\alpha_{2}-\alpha_{1}=90^{\circ}$ so angle of major arc $\alpha=360^{\circ}-90^{\circ}=270^{\circ}$",,103,$45^{\circ}$,$90^{\circ}$,$135^{\circ}$,$270^{\circ}$,,,,,4,,
For what value of $\mathrm{m}$ the circle $3 \mathrm{x}^{2}+3 \mathrm{y}^{2}+60 \mathrm{x}+180 \mathrm{y}+75 \mathrm{m}=0$ become a point circle,,moderate,$\begin{aligned} r=\sqrt{10^{2}+30^{2}-25 m}=& \sqrt{100+900-25 m}=0 \\ 25 m=1000 \rightarrow m=40 \end{aligned}$,,103,20,75,40,3,,,,,3,,
The equation of circle of circumference $\pi$ a and tangent to both axes in $3^{\text {rd }}$ quadrant is,,moderate,"The radius of circle is $\frac{\text { circum }}{2 \pi}=\frac{a \pi}{2}=\frac{a}{2}$. If the circle is tangent to both axis in third quadrant then the centre of circle will be: $(-r,-r)=\left(-\frac{a}{2},-\frac{a}{2}\right)$
\[
\begin{array}{c}
\left(x+\frac{a}{2}\right)^{2}+\left(y+\frac{a}{2}\right)^{2}=\frac{a^{2}}{2} \rightarrow \frac{1}{4}\left[(2 x+a)^{2}+(2 y+a)^{2}\right]=\frac{a^{2}}{4} \\
(2 x+a)^{2}+(2 y+a)^{2}=a^{2}
\end{array}
\]",,103,$(x+a)^{2}+(y+a)^{2}=a^{2}$,$(x-a)^{2}+(y-a)^{2}=a^{2}$,$(2 x+a)^{2}+(2 y+a)^{2}=a^{2}$,$(2 x+a)^{2}+(2 y+a)^{2}=\frac{a^{2}}{4}$,,,,,3,,
The focus of the parabola $x^{2}=6$ ay is,,easy,"Focus of parabola is $\left(0, \frac{3}{2} a\right)$",,103,"(0,a)","(0,6a)","$\left(0, \frac{2}{3} a\right)$",none,,,,,4,,
"The standard equation of an ellipse with major-axis along x-axis and center at (h,k) is",,easy,Theoretical Formula,,103,$\frac{(x-h)^{2}}{b^{2}}+\frac{(y-k)^{2}}{a^{2}}=1$,$\frac{(x-k)^{2}}{b^{2}}+\frac{(y-h)^{2}}{a^{2}}=1$,$\frac{(x-k)^{2}}{b^{2}}+\frac{(y-h)^{2}}{a^{2}}=0$,$\frac{(x-h)^{2}}{a^{2}}+\frac{(y-k)^{2}}{b^{2}}=1$,,,,,4,,
Foci of the ellipse $\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1$,,easy,"Theoretical point. Foci are $(\pm c, 0)$ where $c^{2}=a^{2}-b^{2}$",,103,"$(\pm c, 0)$","(a,b)","$(0, \pm c)$",none,,,,,1,,
Equations of directrices of ellipse $\frac{x^{2}}{25}+\frac{y^{2}}{16}=1$,,moderate,directrix : $x=\pm \frac{c}{e^{2}}=\pm \frac{a^{2}}{c}=\pm \frac{25}{3}$,,103,$x=\pm \frac{a}{e}$,$x=\pm a$,$y=\pm \frac{a}{e}$,$x=\pm \frac{25}{3}$,,,,,4,,
Equations of directrices of ellipse $\frac{x^{2}}{3}+\frac{y^{2}}{2}=1$,,moderate,$d: x=\pm \frac{c}{e^{2}}=\pm \frac{a^{2}}{c}=\pm \frac{3}{1}=\pm 3$,,103,$x=\pm \frac{3}{e}$,$x=\pm \frac{e}{3}$,$x=\pm \frac{3}{2}$,none,,,,,4,,
The coordinates of foci of $a^{2} x^{2}+b^{2} y^{2}=a^{2} b^{2}$ are;,,moderate,"Eq. is $\frac{x^{2}}{b^{2}}+\frac{y^{2}}{a^{2}}=1:$ So, foci are $(0, \pm c)$",,103,"$(\pm c, 0)$","$(0, \pm c)$","$\left(0, \pm \frac{a}{e}\right)$",none,,,,,2,,
